,Zone,Food Wrappers,Miles,Latitude,Longitude,Wildlife,Pollution,Terrain,Population,Volunteers
131,"Los Angeles County, CA, USA",2,0.2548,34.18695,-118.1024,131,4139,18.875882612943343,1214104,242
12410,"Kent County, DE, USA",116,4.0,39.173461093435,-75.429628305253,86,11123,3.974016920603516,736114,147
101,"Broward County, FL, USA",4,0.0083,26.02064,-80.37557,0,1257,4.831700622850515,2737526,547
11050,"Barnstable County, MA, USA",1,4.4723,41.73757,-70.36721,120,8874,20.14767119215658,478154,95
4773,"St Johns County, FL, USA",3,0.0,30.16109,-81.35724,123,2236,7.6709851609560245,9244498,1848
9235,"Cook County, MN, USA",47,1.0,47.74894,-90.33556,34,4608,13.265319685714674,2459944,491
13525,"Volusia County, FL, USA",2,0.0128,29.24472,-81.04958,18,7157,22.119333494050743,10409900,2081
2494,"Los Angeles County, CA, USA",3,0.1204,33.83737,-118.39026,115,2710,21.76057462985213,1214104,242
10381,"Los Angeles County, CA, USA",14,0.0047,34.27174,-118.42196,118,11894,15.941689373222676,1214104,242
13250,"Santa Barbara County, CA, USA",20,0.0163,34.41767,-119.71268,43,5842,7.2633864806278545,7045521,1409
8954,"San Mateo County, CA, USA",5,0.5,37.605066822516,-122.37625923438,127,9259,2.8809281710402748,7237370,1447
10590,"Honolulu County, HI, USA",1,0.4996,21.69983,-158.00111,29,6735,24.636678003301316,458547,91
13674,"Palm Beach County, FL, USA",18,1.4422,26.38453,-80.0666,59,10431,1.5377238050814528,8732606,1746
10860,"Baldwin County, AL, USA",463,16.5,30.674165244712,-87.93335552556,44,4676,23.544933860536425,11219138,2243
11019,"Montgomery County, NY, USA",1,0.131,42.9643,-74.18403,91,11278,4.757167147266718,6816647,1363
3341,"San Diego County, CA, USA",13,0.1745,32.75501,-117.24952,116,7314,8.999688451035109,7853477,1570
1949,"Pinellas County, FL, USA",0,0.0,27.75671,-82.73425,17,11297,1.0116682134561827,9904308,1980
7353,"Miami-Dade County, FL, USA",0,0.0814,25.94307,-80.11972,63,6644,13.13697095281119,4518308,903
8990,"Accomack County, VA, USA",19,1.0,37.939068928326,-75.457030423279,107,254,13.922947217099265,10228155,2045
12785,"Volusia County, FL, USA",2,0.0128,29.24472,-81.04958,19,4846,10.666644355796087,10409900,2081
931,"Charleston County, SC, USA",2,0.0,32.67174,-79.94757,17,11788,17.65682783128995,4774582,954
14067,"Douglas County, NE, USA",0,0.25,41.30238,-96.075957,150,1610,23.763962216807702,10514390,2102
3648,"Horry County, SC, USA",1,0.0544,33.61695,-79.00378,87,2079,15.983913310106427,10311923,2062
12470,"Virginia Beach, VA, USA",4,0.0,36.77499,-75.96014,93,1568,23.46664474031011,8317810,1663
11273,"Larimer County, CO, USA",20,1.0,40.577506163718,-105.08075737238,141,10083,24.05500427749966,1437162,287
6487,"Miami-Dade County, FL, USA",3,0.0037,25.47537,-80.4271,89,11001,5.963335647847326,4518308,903
11425,"Los Angeles County, CA, USA",28,0.5669,33.87154,-118.40494,96,1567,21.169297229816987,1214104,242
10022,"Benzie County, MI, USA",0,0.1,44.76304,-86.07643,42,23,1.07612329158818,644048,128
4245,"Kenai Peninsula Borough, AK, USA",1,5.5,59.717844734218,-151.25305033804,121,5,13.297996910664079,2153951,430
4051,"Miami-Dade County, FL, USA",24,0.7682,25.78499,-80.2256,50,935,10.801351495451245,4518308,903
684,"Washington County, OR, USA",4,0.019,45.56747,-122.82713,115,7681,12.031206419220675,4672539,934
11817,"Franklin County, FL, USA",0,0.0144,29.72082,-84.98863,83,5490,6.357627298208538,5890127,1178
6461,"San Francisco County, CA, USA",0,1.7474,37.74005,-122.37629,81,5697,20.47188406810135,1677439,335
7318,"St Mary's County, MD, USA",12,0.1335,38.04559,-76.32489,55,3179,2.666494675972433,10947906,2189
4286,"Maricopa County, AZ, USA",0,0.0309,33.51568,-111.99835,73,7576,11.703385200957063,12259990,2451
8852,"Jackson County, OR, USA",0,2.0,42.378206932518,-122.90288232992,35,834,5.666631430911264,4632940,926
976,"Palm Beach County, FL, USA",2,1.9099,26.47803,-80.05534,99,2005,21.9868854808956,8732606,1746
11525,"San Mateo County, CA, USA",9,0.25,37.452493055114,-122.44514212275,80,5604,0.45379321492637015,7237370,1447
10393,"San Diego County, CA, USA",6,0.5963,32.76182,-117.25045,132,4437,16.36960772412188,7853477,1570
