"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
50179,"Solano County, CA, USA","California, USA","United States","38.187608799824, -121.97475803848","Land (beach, shoreline and inland)",2019-09-21,"Solano County Parks",1,0,1,273,1,5,300,1000,0,200,40,20,150,70,0,70,40,30,20,100,50,0,60,5,0,0,100,0,0,0,10,20,1,80,0,0,0,50,4,5,0,4,0,0,60,0,1,0,0,500,2000,1000,5990
69184,"San Mateo County, CA, USA","California, USA","United States","37.63023, -122.46796","Land (beach, shoreline and inland)",2019-04-13,,40,0,40,0,0.1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70623,"Los Angeles County, CA, USA","California, USA","United States","33.8389, -118.39083","Land (beach, shoreline and inland)",2019-04-13,"Redondo Beach Cleanup Teaml",1,0,1,11.54,10.3005,0,79,31,5,0,5,0,4,14,2,9,1,0,8,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,2,37,0,0,0,0,17,0,0,123,351
70626,"Los Angeles County, CA, USA","California, USA","United States","33.8385, -118.3906","Land (beach, shoreline and inland)",2019-04-13,,1,0,1,3.45,0.6434,0,26,11,0,0,8,0,0,37,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,14,0,0,0,0,0,0,0,61,168
70627,"Orange County, CA, USA","California, USA","United States","33.60013, -117.89862","Land (beach, shoreline and inland)",2019-04-13,"Oc habitats",1,0,1,4.43,1.1773,0,2,7,0,1,9,0,2,2,1,0,5,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,22,67
70628,"Orange County, CA, USA","California, USA","United States","33.60091, -117.89818","Land (beach, shoreline and inland)",2019-04-13,"OC habitats",6,0,6,11.07,0.0697,0,25,11,3,3,45,0,9,53,5,5,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,5,25,0,0,0,0,7,0,0,291,505
70639,"Orange County, CA, USA","California, USA","United States","33.60048, -117.89871","Land (beach, shoreline and inland)",2019-04-13,"OC Habitats/Discovery Cube",3,0,3,18.43,1.4782,0,18,36,6,2,21,0,3,19,7,10,1,2,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,61,0,0,0,0,8,0,0,128,350
70650,"Los Angeles County, CA, USA","California, USA","United States","34.17507, -118.09687","Land (beach, shoreline and inland)",2019-04-13,"Pasadena City College",1,0,1,6.08,2.1143,0,1,9,0,0,2,0,1,0,1,8,3,5,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,0,0,0,0,0,1,15,0,0,0,0,1,0,0,1,65
70653,"Los Angeles County, CA, USA","California, USA","United States","34.14397, -118.16623","Land (beach, shoreline and inland)",2019-04-13,,1,0,1,0.37,0.0283,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
70655,"Marin County, CA, USA","California, USA","United States","37.83513, -122.53152","Land (beach, shoreline and inland)",2019-04-13,"tmmc youth crew ",3,0,3,0,0.0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
