studyName,"Event Index","Event Number","Datetime PST","Latitude (º)","Longitude (º)",Net,"Mesh Size (?)","Microplastic Abundance"
SEAPLEX-0908NH,1-1,10,"2009-08-03 03:46:00",32.3998,-119.97725,bongo,202,0
SEAPLEX-0908NH,1-2,24,"2009-08-03 12:38:00",32.41992,-119.99162,bongo,202,0
SEAPLEX-0908NH,1-3,28,"2009-08-03 13:58:00",32.40838,-119.97648,bongo,202,0
SEAPLEX-0908NH,1-4,34,"2009-08-03 18:01:00",32.40768,-119.94468,bongo,202,0
SEAPLEX-0908NH,1-5,38,"2009-08-03 18:55:00",32.41248,-119.96887,bongo,202,0
SEAPLEX-0908NH,1-6,46,"2009-08-03 23:00:00",32.4243,-120.06482,bongo,202,0
SEAPLEX-0908NH,2-1,128,"2009-08-08 15:25:00",32.05757,-137.91145,bongo,202,0.0502
SEAPLEX-0908NH,2-2,134,"2009-08-08 19:28:00",32.04687,-137.93552,bongo,202,0.0655
SEAPLEX-0908NH,2-3,140,"2009-08-09 00:34:00",32.06385,-137.91325,bongo,202,0.0299
SEAPLEX-0908NH,2-4,142,"2009-08-09 01:03:00",32.07912,-137.91353,bongo,202,0.0489
SEAPLEX-0908NH,2-5,160,"2009-08-09 10:09:00",32.06967,-137.89738,bongo,202,0.0212
SEAPLEX-0908NH,2-6,170,"2009-08-09 13:24:00",32.05387,-137.91488,bongo,202,0.0301
SEAPLEX-0908NH,3-1,199,"2009-08-10 15:42:00",32.91452,-140.31673,bongo,202,0.0131
SEAPLEX-0908NH,3-2,208,"2009-08-10 20:38:00",32.91892,-140.30998,bongo,202,0.0367
SEAPLEX-0908NH,3-3,212,"2009-08-11 01:05:00",32.91053,-140.30437,bongo,202,0.0087
SEAPLEX-0908NH,3-4,214,"2009-08-11 01:34:00",32.90315,-140.29267,bongo,202,0.0466
SEAPLEX-0908NH,3-5,235,"2009-08-11 12:14:00",32.90875,-140.32658,bongo,202,0.0842
SEAPLEX-0908NH,3-6,237,"2009-08-11 12:43:00",32.91825,-140.33688,bongo,202,0.0165
SEAPLEX-0908NH,4-1,339,"2009-08-14 12:40:00",34.06647,-139.94755,bongo,202,0.013
SEAPLEX-0908NH,4-2,341,"2009-08-14 13:10:00",34.07308,-139.9396,bongo,202,0.0304
SEAPLEX-0908NH,4-3,344,"2009-08-14 14:05:00",34.08357,-139.92378,bongo,202,0.0176
SEAPLEX-0908NH,4-4,358,"2009-08-14 22:50:00",34.06633,-139.97828,bongo,202,0.0782
SEAPLEX-0908NH,4-5,360,"2009-08-14 23:25:00",34.07567,-139.84393,bongo,202,0.0565
SEAPLEX-0908NH,4-6,362,"2009-08-14 23:50:00",34.07628,-139.97657,bongo,202,0.032
