studyName,"Event Index","Event Number","Datetime PST","Latitude","Longitude",Net,"Mesh Size (?)",Name,"Particle Mass (g)","Missing Value Expl. (Particle Mass)",Color,"Particle Type","Plastic Type"
SEAPLEX-0908NH,G1.5,281,"2009-08-12 20:59:00",35.9864,-139.8749,manta,333,G1.5.75.A11,0.0007,,black,fragment,HDPE
SEAPLEX-0908NH,G1.5,281,"2009-08-12 20:59:00",35.9864,-139.8749,manta,333,G1.5.75.A12,0.0016,,white,fragment,HDPE
SEAPLEX-0908NH,G1.5,281,"2009-08-12 20:59:00",35.9864,-139.8749,manta,333,G1.5.75.A3,0.0109,,black,fragment,HDPE
SEAPLEX-0908NH,G1.5,281,"2009-08-12 20:59:00",35.9864,-139.8749,manta,333,G1.5.75.A5,0.0046,,white,fragment,HDPE
SEAPLEX-0908NH,G1.5,281,"2009-08-12 20:59:00",35.9864,-139.8749,manta,333,G1.5.75.A9,0.0010,,white,fragment,HDPE
SEAPLEX-0908NH,G1.5,281,"2009-08-12 20:59:00",35.9864,-139.8749,manta,333,G1.5.75.B11,,NA,white,fragment,HDPE
SEAPLEX-0908NH,G1.5,281,"2009-08-12 20:59:00",35.9864,-139.8749,manta,333,G1.5.75.B2,0.0024,,white,line,HDPE
SEAPLEX-0908NH,G1.5,281,"2009-08-12 20:59:00",35.9864,-139.8749,manta,333,G1.5.75.B7,,NA,black,fragment,HDPE
SEAPLEX-0908NH,G1.5,281,"2009-08-12 20:59:00",35.9864,-139.8749,manta,333,G1.5.75.B9,0.0020,,white,fragment,HDPE
SEAPLEX-0908NH,G1.5,281,"2009-08-12 20:59:00",35.9864,-139.8749,manta,333,G1.5.75.C1,,NA,white,fragment,HDPE
SEAPLEX-0908NH,G1.5,281,"2009-08-12 20:59:00",35.9864,-139.8749,manta,333,G1.5.75.C11,,NA,yellow,fragment,HDPE
SEAPLEX-0908NH,G1.5,281,"2009-08-12 20:59:00",35.9864,-139.8749,manta,333,G1.5.75.C12,,NA,white,fragment,HDPE
SEAPLEX-0908NH,G1.5,281,"2009-08-12 20:59:00",35.9864,-139.8749,manta,333,G1.5.75.C2,,NA,white,fragment,HDPE
SEAPLEX-0908NH,G1.5,281,"2009-08-12 20:59:00",35.9864,-139.8749,manta,333,G1.5.75.C3,0.0016,,red,fragment,HDPE
SEAPLEX-0908NH,G1.5,281,"2009-08-12 20:59:00",35.9864,-139.8749,manta,333,G1.5.75.C5,0.0019,,white,fragment,HDPE
SEAPLEX-0908NH,G1.5,281,"2009-08-12 20:59:00",35.9864,-139.8749,manta,333,G1.5.75.C6,,NA,blue,fragment,HDPE
SEAPLEX-0908NH,G1.5,281,"2009-08-12 20:59:00",35.9864,-139.8749,manta,333,G1.5.75.C9,0.0013,,white,line,HDPE
SEAPLEX-0908NH,G1.5,281,"2009-08-12 20:59:00",35.9864,-139.8749,manta,333,G1.5.75.D1,0.0023,,white,fragment,HDPE
SEAPLEX-0908NH,G1.5,281,"2009-08-12 20:59:00",35.9864,-139.8749,manta,333,G1.5.75.A1,0.0098,,blue,fragment,LDPE
