%Month  Day  Year   Long (E)    Lat (N)   Plastic conc. (pieces/km2)
  10   12   2001   -117.18     32.42        4320
  10   12   2001   -117.18     31.54        5940
  10   12   2001   -117.47     30.60           0
  10   14   2001   -117.18     29.10           0
  10   15   2001   -116.09     28.54           0
  10   15   2001   -115.88     27.80         540
  10   16   2001   -115.61     27.09           0
  10   17   2001   -114.91     26.08           0
  10   17   2001   -113.28     24.65           0
  10   19   2001   -110.98     23.06         540
  10   20   2001   -110.49     22.97           0
  10   20   2001   -109.94     22.87        2700
  10   21   2001   -110.11     24.29           0
  10   26   2001   -109.92     24.52        4320
  10   26   2001   -109.17     24.38         540
  10   27   2001   -108.52     23.80        1080
  10   27   2001   -107.84     23.28        2700
  10   28   2001   -107.60     22.47       11570
  10   29   2001   -106.06     19.12         540
  10   30   2001   -105.82     18.18         540
  10   30   2001   -105.74     17.77         540
  10   31   2001   -104.23     17.45           0
  10   31   2001   -102.62     17.25        4320
  11    1   2001   -101.36     17.04           0
  11    1   2001    -99.24     16.33        5400
  11    1   2001    -98.47     15.78        2117
  11    3   2001    -97.89     15.41           0
  11    3   2001    -96.50     14.41        1620
  11    4   2001    -96.14     13.80           0
  11    5   2001    -93.89     11.33           0
  11    6   2001    -93.01     10.26        1080
  11    7   2001    -92.97      9.43           0
  11    7   2001    -92.56      8.70           0
  11    9   2001    -89.24      6.79         540
  11    9   2001    -87.77      6.32           0
  11    9   2001    -87.09      5.89        1080
  11    9   2001    -87.04      5.59           0
  11   13   2001    -86.96      5.62           0
  11   14   2001    -85.93      6.97         540
  11   14   2001    -85.75      7.73           0
  11   15   2001    -85.51      7.99           0
  11   15   2001    -85.33      8.45        2160
  11   16   2001    -84.95      9.39           0
  11   16   2001    -84.99      9.71           0
  11   28   2001    -85.23      8.97           0
  11   29   2001    -87.00      7.34         509
  11   29   2001    -86.51      6.13        1028
  11   30   2001    -86.73      5.97           0
  11   30   2001    -87.56      5.00           0
  12    1   2001    -88.07      3.73         540
  12    1   2001    -88.10      3.01           0
  12    2   2001    -89.06      1.74           0
  12    3   2001    -90.11      1.15           0
  12    3   2001    -89.33      1.17           0
  12    4   2001    -89.79      0.07           0
  12    5   2001    -90.08     -0.51           0
  12    8   2001    -90.26     -0.87           0
  12    9   2001    -90.43     -1.21           0
  12    9   2001    -90.84     -1.07           0
  12   10   2001    -91.96     -1.13           0
  12   11   2001    -93.02     -0.93           0
  12   11   2001    -93.76     -0.98           0
  12   12   2001    -96.00     -1.52           0
  12   13   2001    -97.36     -1.84           0
  12   13   2001    -98.44     -2.04           0
  12   14   2001    -99.82     -2.20           0
  12   14   2001   -100.79     -2.33           0
  12   15   2001   -101.99     -2.53           0
  12   15   2001   -103.19     -2.97           0
  12   16   2001   -104.46     -3.54           0
  12   16   2001   -105.63     -4.02           0
