Long(deg)	Lat(deg)	MONTH	DAY	YEAR	DATE	Pieces/KM2
-60.29	45.28	07	13	1989	1989-07-13	0
-70.65	40.93	10	12	1989	1989-10-12	569
-70.65	40.93	10	12	1989	1989-10-12	1080
-69.77	40.30	10	12	1989	1989-10-12	0
-67.15	39.88	10	15	1989	1989-10-15	0
-63.73	37.83	10	18	1989	1989-10-18	10799
-63.73	37.83	10	18	1989	1989-10-18	133909
-63.38	36.90	10	19	1989	1989-10-19	17279
-63.38	36.90	10	19	1989	1989-10-19	21058
-61.98	35.70	10	20	1989	1989-10-20	74874
-61.98	34.70	10	20	1989	1989-10-20	2880
-57.38	34.87	10	23	1989	1989-10-23	8998
-57.38	34.87	10	23	1989	1989-10-23	2160
-57.20	32.65	10	24	1989	1989-10-24	7058
-57.20	32.65	10	24	1989	1989-10-24	37797
-59.27	22.90	10	30	1989	1989-10-30	9200
-59.27	22.90	10	30	1989	1989-10-30	2907
-64.32	17.80	11	29	1989	1989-11-29	0
-64.32	17.80	11	29	1989	1989-11-29	0
-63.72	17.00	12	02	1989	1989-12-02	0
-63.72	17.00	12	02	1989	1989-12-02	1440
-63.63	16.47	12	02	1989	1989-12-02	1080
-63.63	16.47	12	02	1989	1989-12-02	1620
-63.50	16.63	12	03	1989	1989-12-03	540
-63.50	16.63	12	03	1989	1989-12-03	1080
-63.07	16.60	12	04	1989	1989-12-04	0
-63.07	16.60	12	04	1989	1989-12-04	900
-62.68	16.97	12	04	1989	1989-12-04	3780
-62.68	16.97	12	04	1989	1989-12-04	0
-62.20	16.08	12	05	1989	1989-12-05	1620
-62.20	16.08	12	05	1989	1989-12-05	2700
-62.17	15.55	12	05	1989	1989-12-05	0
-62.17	15.55	12	05	1989	1989-12-05	2160
-61.98	15.10	12	06	1989	1989-12-06	0
-61.98	15.10	12	06	1989	1989-12-06	0
-61.70	13.98	12	06	1989	1989-12-06	0
-61.70	13.98	12	06	1989	1989-12-06	0
-61.77	12.22	12	08	1989	1989-12-08	0
-61.77	12.22	12	08	1989	1989-12-08	1620
-61.47	12.48	12	10	1989	1989-12-10	0
-62.57	12.65	12	13	1989	1989-12-13	0
-62.57	12.65	12	13	1989	1989-12-13	540
-63.12	13.05	12	13	1989	1989-12-13	0
-63.12	13.05	12	13	1989	1989-12-13	0
-63.35	13.50	12	14	1989	1989-12-14	2058
-63.35	13.50	12	14	1989	1989-12-14	0
-64.43	14.68	12	14	1989	1989-12-14	0
-64.43	14.68	12	14	1989	1989-12-14	0
-65.30	15.80	12	15	1989	1989-12-15	0
-65.30	15.80	12	15	1989	1989-12-15	0
-65.90	16.48	12	15	1989	1989-12-15	1080
-65.90	16.48	12	15	1989	1989-12-15	1080
-66.10	16.60	12	16	1989	1989-12-16	675
-66.10	16.60	12	16	1989	1989-12-16	0
-66.87	17.23	12	16	1989	1989-12-16	2700
-66.87	17.23	12	16	1989	1989-12-16	1080
-67.62	17.90	12	17	1989	1989-12-17	0
-67.62	17.90	12	17	1989	1989-12-17	0
-67.82	17.90	12	17	1989	1989-12-17	0
-67.82	17.90	12	17	1989	1989-12-17	0
-68.42	18.03	12	18	1989	1989-12-18	0
-68.42	18.03	12	18	1989	1989-12-18	0
-68.78	17.40	12	18	1989	1989-12-18	0
-68.78	17.40	12	18	1989	1989-12-18	0
-70.40	17.87	12	22	1989	1989-12-22	1080
-70.40	17.87	12	22	1989	1989-12-22	0
-71.35	16.68	12	22	1989	1989-12-22	0
-71.35	16.68	12	22	1989	1989-12-22	0
-72.50	17.35	12	23	1989	1989-12-23	0
-72.50	17.35	12	23	1989	1989-12-23	0
-74.47	16.22	12	24	1989	1989-12-24	0
-74.47	16.22	12	24	1989	1989-12-24	0
-74.98	16.25	12	24	1989	1989-12-24	1620
-74.98	16.25	12	24	1989	1989-12-24	1080
-76.00	16.48	12	25	1989	1989-12-25	0
-76.00	16.48	12	25	1989	1989-12-25	0
-77.50	16.88	12	27	1989	1989-12-27	0
-77.50	16.88	12	27	1989	1989-12-27	0
-78.62	26.28	04	06	1990	1990-04-06	5400
-76.00	25.37	04	08	1990	1990-04-08	0
-76.00	25.37	04	09	1990	1990-04-09	0
-73.75	22.27	04	13	1990	1990-04-13	0
-73.75	22.27	04	13	1990	1990-04-13	0
-73.80	22.80	04	14	1990	1990-04-14	12419
-73.86	22.86	04	15	1990	1990-04-15	0
-73.78	23.17	04	16	1990	1990-04-16	1620
-73.78	23.17	04	17	1990	1990-04-17	1080
-73.75	23.63	04	17	1990	1990-04-17	0
-74.04	24.03	04	18	1990	1990-04-18	0
-74.40	24.22	04	23	1990	1990-04-23	292
-74.40	24.22	04	24	1990	1990-04-24	1620
-74.40	24.91	04	24	1990	1990-04-24	0
-74.37	24.78	04	24	1990	1990-04-24	2160
-74.42	24.83	04	24	1990	1990-04-24	2160
-74.42	24.83	04	24	1990	1990-04-24	0
-74.80	25.58	04	25	1990	1990-04-25	1620
-74.80	25.58	04	25	1990	1990-04-25	7019
-74.87	26.14	04	26	1990	1990-04-26	14579
-74.87	26.14	04	27	1990	1990-04-27	17279
-75.04	26.58	04	26	1990	1990-04-26	4500
-74.08	27.40	04	27	1990	1990-04-27	0
-71.93	28.45	04	29	1990	1990-04-29	0
-71.72	28.74	04	29	1990	1990-04-29	16199
-71.19	29.14	04	29	1990	1990-04-29	0
-71.19	29.14	04	29	1990	1990-04-29	0
-69.13	30.50	05	02	1990	1990-05-02	7019
-67.29	31.16	05	02	1990	1990-05-02	198704
-65.07	31.72	05	03	1990	1990-05-03	6479
-62.69	44.55	08	16	1990	1990-08-16	0
-62.69	44.55	08	16	1990	1990-08-16	0
-64.04	42.90	08	17	1990	1990-08-17	0
-64.04	42.90	08	17	1990	1990-08-17	540
-65.39	42.71	08	17	1990	1990-08-17	0
-65.39	42.71	08	17	1990	1990-08-17	0
-70.31	42.74	08	22	1990	1990-08-22	0
-70.31	42.74	08	22	1990	1990-08-22	0
-68.74	41.30	08	23	1990	1990-08-23	540
-68.74	41.30	08	23	1990	1990-08-23	0
-63.98	17.98	01	03	1990	1990-01-03	1080
-64.45	18.47	01	15	1991	1991-01-15	6479
-78.70	26.42	04	19	1991	1991-04-19	3240
-78.70	26.42	04	19	1991	1991-04-19	0
-79.97	25.87	04	20	1991	1991-04-20	0
-79.97	25.87	04	20	1991	1991-04-20	0
-76.72	25.65	04	20	1991	1991-04-20	0
-76.72	25.65	04	20	1991	1991-04-20	0
-76.10	24.55	04	23	1991	1991-04-23	0
-76.10	24.55	04	24	1991	1991-04-24	4153
-76.27	24.46	04	25	1991	1991-04-25	2700
-76.27	24.46	04	25	1991	1991-04-25	1080
-75.87	24.75	04	25	1991	1991-04-25	2700
-75.87	24.75	04	25	1991	1991-04-25	0
-75.50	25.18	04	26	1991	1991-04-26	6479
-75.50	25.18	04	26	1991	1991-04-26	5400
-75.00	25.58	04	26	1991	1991-04-26	7424
-75.00	25.58	04	26	1991	1991-04-26	8099
-74.82	26.28	04	27	1991	1991-04-27	4320
-74.82	26.28	04	27	1991	1991-04-27	6595
-74.42	26.85	04	28	1991	1991-04-28	415
-74.42	26.85	04	28	1991	1991-04-28	19438
-74.37	27.90	04	29	1991	1991-04-29	33477
-74.37	27.90	04	29	1991	1991-04-29	22678
-73.48	28.48	04	29	1991	1991-04-29	3858
-73.48	28.48	04	30	1991	1991-04-30	0
-71.97	29.44	04	30	1991	1991-04-30	31317
-71.97	29.44	05	01	1991	1991-05-01	2700
-70.88	29.83	05	01	1991	1991-05-01	20257
-70.88	29.83	05	01	1991	1991-05-01	4860
-70.50	30.12	05	02	1991	1991-05-02	14399
-70.50	30.12	05	02	1991	1991-05-02	31857
-69.62	30.97	05	03	1991	1991-05-03	2700
-69.62	30.97	05	03	1991	1991-05-03	5400
-68.78	31.00	05	03	1991	1991-05-03	12959
-68.78	31.00	05	03	1991	1991-05-03	10799
-67.87	31.32	05	04	1991	1991-05-04	18898
-67.87	31.32	05	04	1991	1991-05-04	4320
-67.13	31.43	05	04	1991	1991-05-04	11339
-67.13	31.43	05	04	1991	1991-05-04	5921
-65.20	32.08	05	05	1991	1991-05-05	19438
-65.20	32.08	05	05	1991	1991-05-05	6077
-64.85	33.73	05	10	1991	1991-05-10	0
-64.85	33.73	05	10	1991	1991-05-10	15119
-64.75	34.95	05	10	1991	1991-05-10	1620
-64.75	34.95	05	11	1991	1991-05-11	1800
-65.72	34.45	05	13	1991	1991-05-13	9901
-65.72	34.45	05	13	1991	1991-05-13	8639
-66.02	39.31	05	13	1991	1991-05-13	1620
-66.02	39.31	05	13	1991	1991-05-13	7019
-63.98	43.77	05	21	1991	1991-05-21	540
-63.98	43.77	05	21	1991	1991-05-21	0
-70.59	41.01	06	25	1991	1991-06-25	1080
-70.59	41.01	06	25	1991	1991-06-25	0
-69.21	41.60	06	26	1991	1991-06-26	1080
-69.21	41.60	06	26	1991	1991-06-26	540
-70.42	42.66	06	27	1991	1991-06-27	0
-70.42	42.66	06	28	1991	1991-06-28	0
-69.50	41.91	07	02	1991	1991-07-02	540
-69.50	41.91	07	02	1991	1991-07-02	540
-68.69	40.77	07	03	1991	1991-07-03	0
-68.69	40.77	07	03	1991	1991-07-03	1080
-70.81	41.03	07	04	1991	1991-07-04	0
-70.81	41.03	07	04	1991	1991-07-04	0
-70.62	40.98	10	11	1991	1991-10-11	0
-70.62	40.98	10	11	1991	1991-10-11	0
-70.20	40.18	10	12	1991	1991-10-12	540
-69.28	38.82	10	13	1991	1991-10-13	6027
-69.28	38.82	10	13	1991	1991-10-13	0
-68.52	38.18	10	13	1991	1991-10-13	37257
-68.52	38.18	10	13	1991	1991-10-13	11879
-66.97	37.47	10	14	1991	1991-10-14	0
-66.97	37.47	10	14	1991	1991-10-14	4860
-66.13	37.18	10	14	1991	1991-10-14	38337
-66.13	37.18	10	14	1991	1991-10-14	89093
-65.08	36.87	10	15	1991	1991-10-15	11879
-65.08	36.87	10	15	1991	1991-10-15	12959
-64.02	36.23	10	15	1991	1991-10-15	23218
-64.02	36.23	10	15	1991	1991-10-15	11879
-63.82	35.95	10	16	1991	1991-10-16	18898
-63.82	35.95	10	16	1991	1991-10-16	5400
-58.98	35.88	10	18	1991	1991-10-18	17819
-58.98	35.88	10	18	1991	1991-10-18	18359
-58.58	35.17	10	18	1991	1991-10-18	36717
-58.58	35.17	10	18	1991	1991-10-18	2700
-58.03	35.88	10	19	1991	1991-10-19	9179
-58.03	35.88	10	19	1991	1991-10-19	5940
-57.37	31.27	10	20	1991	1991-10-20	7019
-57.37	31.27	10	20	1991	1991-10-20	21058
-57.38	29.97	10	20	1991	1991-10-20	15119
-57.38	29.97	10	20	1991	1991-10-20	16739
-57.48	29.42	10	20	1991	1991-10-20	19978
-57.48	29.42	10	20	1991	1991-10-20	10259
-57.30	28.78	10	21	1991	1991-10-21	14579
-57.30	28.78	10	21	1991	1991-10-21	30238
-57.60	26.10	10	23	1991	1991-10-23	2160
-57.60	26.10	10	23	1991	1991-10-23	8099
-57.90	24.80	10	23	1991	1991-10-23	0
-57.90	24.80	10	23	1991	1991-10-23	4860
-58.13	24.07	10	23	1991	1991-10-23	2700
-58.13	24.07	10	23	1991	1991-10-23	2700
-58.13	22.98	10	24	1991	1991-10-24	0
-58.13	22.98	10	24	1991	1991-10-24	2160
-58.63	22.05	10	25	1991	1991-10-25	0
-58.63	22.05	10	25	1991	1991-10-25	0
-58.90	21.52	10	25	1991	1991-10-25	0
-58.90	21.52	10	26	1991	1991-10-26	0
-58.67	21.37	10	26	1991	1991-10-26	11339
-58.67	21.37	10	26	1991	1991-10-26	4860
-58.57	20.68	10	26	1991	1991-10-26	4320
-58.57	20.68	10	27	1991	1991-10-27	1080
-58.58	19.27	10	28	1991	1991-10-28	540
-58.58	19.27	10	28	1991	1991-10-28	0
-59.02	17.43	10	28	1991	1991-10-28	2160
-59.02	17.43	10	29	1991	1991-10-29	0
-60.05	15.95	10	29	1991	1991-10-29	0
-60.05	15.95	10	30	1991	1991-10-30	0
-60.75	14.18	10	30	1991	1991-10-30	0
-60.75	14.18	10	31	1991	1991-10-31	0
-61.22	13.97	10	31	1991	1991-10-31	0
-61.20	13.70	11	01	1991	1991-11-01	540
-61.20	13.70	11	01	1991	1991-11-01	0
-61.55	13.12	11	01	1991	1991-11-01	540
-61.55	13.12	11	01	1991	1991-11-01	2700
-61.50	12.00	11	01	1991	1991-11-01	0
-61.50	12.00	11	02	1991	1991-11-02	0
-61.77	12.25	11	03	1991	1991-11-03	0
-61.77	12.25	11	03	1991	1991-11-03	540
-61.30	13.05	11	09	1991	1991-11-09	0
-61.30	13.05	11	09	1991	1991-11-09	1080
-61.32	13.30	11	09	1991	1991-11-09	1080
-61.32	13.30	11	09	1991	1991-11-09	0
-62.70	16.92	11	15	1991	1991-11-15	0
-62.70	16.92	11	15	1991	1991-11-15	0
-64.72	18.17	11	27	1991	1991-11-27	0
-64.72	18.17	11	27	1991	1991-11-27	0
-64.58	18.23	11	28	1991	1991-11-28	0
-64.58	18.23	11	28	1991	1991-11-28	0
-64.97	17.62	11	29	1991	1991-11-29	540
-64.97	17.62	11	29	1991	1991-11-29	0
-63.85	15.87	11	30	1991	1991-11-30	0
-63.85	15.87	11	30	1991	1991-11-30	0
-63.70	15.20	11	30	1991	1991-11-30	1080
-63.70	15.20	11	30	1991	1991-11-30	1080
-63.27	14.53	12	01	1991	1991-12-01	0
-63.27	14.53	12	01	1991	1991-12-01	0
-62.70	13.63	12	01	1991	1991-12-01	540
-62.70	13.63	12	01	1991	1991-12-01	1080
-62.07	13.18	12	02	1991	1991-12-02	0
-62.07	13.18	12	02	1991	1991-12-02	0
-64.60	11.45	12	07	1991	1991-12-07	1080
-64.60	11.45	12	07	1991	1991-12-07	1620
-66.87	11.25	12	09	1991	1991-12-09	0
-66.87	11.25	12	09	1991	1991-12-09	1080
-68.02	11.83	12	10	1991	1991-12-10	1080
-68.02	11.83	12	10	1991	1991-12-10	540
-68.83	12.30	12	10	1991	1991-12-10	1080
-68.83	12.30	12	10	1991	1991-12-10	540
-70.97	13.63	12	14	1991	1991-12-14	0
-70.97	13.63	12	14	1991	1991-12-14	0
-73.75	15.10	12	15	1991	1991-12-15	0
-73.75	15.10	12	15	1991	1991-12-15	0
-74.30	15.35	12	15	1991	1991-12-15	0
-74.30	15.35	12	16	1991	1991-12-16	1620
-75.50	15.78	12	16	1991	1991-12-16	540
-75.50	15.78	12	16	1991	1991-12-16	0
-76.63	16.38	12	17	1991	1991-12-17	0
-76.63	16.38	12	17	1991	1991-12-17	0
-78.18	17.08	12	17	1991	1991-12-17	1080
-78.18	17.08	12	18	1991	1991-12-18	540
-78.50	17.32	12	18	1991	1991-12-18	0
-78.50	17.32	12	18	1991	1991-12-18	0
-79.13	18.02	12	19	1991	1991-12-19	540
-79.13	18.02	12	19	1991	1991-12-19	2160
-85.95	16.86	12	22	1991	1991-12-22	1620
-85.95	16.86	12	22	1991	1991-12-22	1080
-86.72	16.87	12	27	1991	1991-12-27	0
-86.72	16.87	12	27	1991	1991-12-27	0
-86.53	17.73	12	27	1991	1991-12-27	1080
-86.53	17.73	12	27	1991	1991-12-27	2700
-82.12	24.31	01	02	1992	1992-01-02	2160
-82.12	24.31	01	02	1992	1992-01-02	1620
-80.62	24.60	01	03	1992	1992-01-03	0
-80.62	24.60	01	03	1992	1992-01-03	0
-79.67	24.90	01	03	1992	1992-01-03	0
-79.67	24.90	01	03	1992	1992-01-03	0
-79.83	25.25	01	04	1992	1992-01-04	0
-79.83	25.25	01	04	1992	1992-01-04	0
-75.45	24.85	01	29	1992	1992-01-29	0
-80.01	26.12	02	05	1992	1992-02-05	540
-78.33	26.35	02	15	1992	1992-02-15	0
-78.33	26.35	02	15	1992	1992-02-15	0
-78.08	26.20	02	16	1992	1992-02-16	7422
-78.08	26.20	02	16	1992	1992-02-16	4050
-75.28	26.30	02	17	1992	1992-02-17	7559
-75.28	26.30	02	17	1992	1992-02-17	3240
-75.15	26.73	02	18	1992	1992-02-18	0
-75.15	26.73	02	18	1992	1992-02-18	0
-73.62	26.20	02	19	1992	1992-02-19	720
-73.62	26.20	02	19	1992	1992-02-19	0
-72.43	24.38	02	21	1992	1992-02-21	0
-71.72	23.48	02	21	1992	1992-02-21	0
-71.55	22.83	02	22	1992	1992-02-22	1800
-71.25	22.00	02	22	1992	1992-02-22	6075
-70.80	20.00	02	28	1992	1992-02-28	1801
-70.80	20.00	02	28	1992	1992-02-28	0
-71.30	20.37	02	29	1992	1992-02-29	26998
-71.30	20.37	02	29	1992	1992-02-29	3597
-70.42	20.22	02	29	1992	1992-02-29	2400
-70.42	20.22	02	29	1992	1992-02-29	3375
-74.89	18.15	03	03	1992	1992-03-03	900
-74.89	18.15	03	03	1992	1992-03-03	540
-76.18	16.25	03	04	1992	1992-03-04	0
-76.18	16.25	03	04	1992	1992-03-04	600
-76.20	15.63	03	04	1992	1992-03-04	0
-76.20	15.63	03	04	1992	1992-03-04	0
-76.65	16.37	03	05	1992	1992-03-05	0
-76.65	16.37	03	05	1992	1992-03-05	0
-77.18	17.23	03	05	1992	1992-03-05	0
-77.18	17.23	03	05	1992	1992-03-05	0
-77.68	17.85	03	05	1992	1992-03-05	0
-77.68	17.85	03	06	1992	1992-03-06	0
-78.28	17.17	03	06	1992	1992-03-06	900
-78.28	17.17	03	06	1992	1992-03-06	0
-78.70	17.32	03	06	1992	1992-03-06	10799
-78.70	17.32	03	07	1992	1992-03-07	0
-79.28	17.50	03	07	1992	1992-03-07	5400
-79.28	17.50	03	07	1992	1992-03-07	0
-79.45	17.28	03	08	1992	1992-03-08	1270
-79.45	17.28	03	08	1992	1992-03-08	0
-80.02	17.17	03	08	1992	1992-03-08	4174
-80.02	17.17	03	08	1992	1992-03-08	4723
-80.38	16.98	03	08	1992	1992-03-08	491
-80.38	16.98	03	09	1992	1992-03-09	2160
-81.20	16.24	03	10	1992	1992-03-10	0
-81.20	16.24	03	10	1992	1992-03-10	771
-84.02	24.21	03	20	1992	1992-03-20	0
-84.02	24.21	03	20	1992	1992-03-20	1350
