Latitude (º);Longitude (º);Plastic concentration (g.km-2);Vessel
63.57;-53.12;7.76;Pakea Bizkaia
60.46;-49.54;5.09;Pakea Bizkaia
51.15;-27.33;0.265;Pakea Bizkaia
49.47;-23.68;17.62;Pakea Bizkaia
45.58;-44.83;0.05;Pakea Bizkaia
45.32;-43.72;1.47;Pakea Bizkaia
44.8;-41.58;36.02;Pakea Bizkaia
44.47;-40.65;0.81;Pakea Bizkaia
44.23;-13.52;0.32;Pakea Bizkaia
43.57;-37.65;133.55;Pakea Bizkaia
41.57;-14.73;178.47;Sarmiento
41.24;-17.14;0;Sarmiento
41.01;-21.81;145.4;Sarmiento
40.07;-26.25;0;Sarmiento
39.77;-25.37;13.73;Pakea Bizkaia
39.47;-31.3;29.54;Pakea Bizkaia
39.13;-30.7;122.65;Sarmiento
38.75;-27.42;20.42;Pakea Bizkaia
37.78;-34.86;185.86;Sarmiento
36.43;-39.02;1045.04;Sarmiento
34.7;-15;2.47;Pakea Bizkaia
34.68;-43.35;1155.07;Sarmiento
33.13;-46.79;49.89;Sarmiento
32.91;-14.61;155.12;Hepérides
32.08;-17.27;417.2;Hepérides
31.62;-50.48;1573.47;Sarmiento
30.97;-20.65;21.12;Hepérides
29.97;-23.69;15.27;Hepérides
29.68;-17.29;437.65;Hepérides
29.01;-53.68;1229.09;Sarmiento
28.87;-26.95;102.66;Hepérides
27.97;-29.65;216.75;Hepérides
26.91;-32.84;260.46;Hepérides
26.53;-56.3;364.5;Sarmiento
26.11;-35.26;772.12;Hepérides
24.98;-21.06;8.11;Hepérides
24.84;-38.71;91.6;Hepérides
23.74;-41.9;28.12;Hepérides
23.27;-22.22;41.19;Hepérides
22.86;-44.53;72.94;Hepérides
22.41;-62.48;39.76;Sarmiento
21.89;-155.66;1113.19;Hepérides
21.74;-47.79;46.54;Hepérides
21.57;-153.42;283.39;Hepérides
21.45;-23.45;49.25;Hepérides
21.06;-150.32;217.65;Hepérides
20.8;-50.14;46.97;Hepérides
20.78;-148.27;218.1;Hepérides
20.47;-65.25;0;Sarmiento
20.34;-145.2;38;Hepérides
20.26;-24.25;9.27;Hepérides
19.99;-52.64;0;Hepérides
19.89;-141.59;31.26;Hepérides
