Zone,Wildlife,Pollution,Safety,Population,Volunteers
"Los Angeles County, CA, USA",131,4139,18.87588261,1214104,242
"Kent County, DE, USA",86,11123,3.974016921,736114,147
"Broward County, FL, USA",0,1257,4.831700623,2737526,547
"Barnstable County, MA, USA",120,8874,20.14767119,478154,95
"St Johns County, FL, USA",123,2236,7.670985161,9244498,1848
"Cook County, MN, USA",34,4608,13.26531969,2459944,491
"Volusia County, FL, USA",18,7157,22.11933349,10409900,2081
"Los Angeles County, CA, USA",115,2710,21.76057463,1214104,242
"Los Angeles County, CA, USA",118,11894,15.94168937,1214104,242
"Santa Barbara County, CA, USA",43,5842,7.263386481,7045521,1409
"San Mateo County, CA, USA",127,9259,2.880928171,7237370,1447
"Honolulu County, HI, USA",29,6735,24.636678,458547,91
"Palm Beach County, FL, USA",59,10431,1.537723805,8732606,1746
"Baldwin County, AL, USA",44,4676,23.54493386,11219138,2243
"Montgomery County, NY, USA",91,11278,4.757167147,6816647,1363
"San Diego County, CA, USA",116,7314,8.999688451,7853477,1570
"Pinellas County, FL, USA",17,11297,1.011668213,9904308,1980
"Miami-Dade County, FL, USA",63,6644,13.13697095,4518308,903
"Accomack County, VA, USA",107,254,13.92294722,10228155,2045
"Volusia County, FL, USA",19,4846,10.66664436,10409900,2081
"Charleston County, SC, USA",17,11788,17.65682783,4774582,954
"Douglas County, NE, USA",150,1610,23.76396222,10514390,2102
"Horry County, SC, USA",87,2079,15.98391331,10311923,2062
"Virginia Beach, VA, USA",93,1568,23.46664474,8317810,1663
"Larimer County, CO, USA",141,10083,24.05500428,1437162,287
"Miami-Dade County, FL, USA",89,11001,5.963335648,4518308,903
"Los Angeles County, CA, USA",96,1567,21.16929723,1214104,242
"Benzie County, MI, USA",42,23,1.076123292,644048,128
"Kenai Peninsula Borough, AK, USA",121,5,13.29799691,2153951,430
"Miami-Dade County, FL, USA",50,935,10.8013515,4518308,903
"Washington County, OR, USA",115,7681,12.03120642,4672539,934
"Franklin County, FL, USA",83,5490,6.357627298,5890127,1178
"San Francisco County, CA, USA",81,5697,20.47188407,1677439,335
"St Mary's County, MD, USA",55,3179,2.666494676,10947906,2189
"Maricopa County, AZ, USA",73,7576,11.7033852,12259990,2451
"Jackson County, OR, USA",35,834,5.666631431,4632940,926
"Palm Beach County, FL, USA",99,2005,21.98688548,8732606,1746
"San Mateo County, CA, USA",80,5604,0.453793215,7237370,1447
"San Diego County, CA, USA",132,4437,16.36960772,7853477,1570
"Los Angeles County, CA, USA",46,4549,5.590312053,1214104,242
"Maui County, HI, USA",60,4509,6.720522495,5575846,1115
"New Haven County, CT, USA",15,2005,9.778691846,11309618,2261
